nodes,community_labels,clustering_labels_5,clustering_labels_10,clustering_labels_20,clustering_labels_50,clustering_labels_100
110279,4,2,5,5,33,83
11028,0,2,5,5,2,43
110280,4,1,0,2,24,37
110282,1,3,8,7,35,81
110283,2,4,9,12,46,93
110284,0,0,7,16,18,44
110285,7,1,2,9,33,18
110286,12,0,3,15,22,12
110287,2,1,2,9,13,87
110288,4,1,0,2,37,98
110289,1,0,1,14,12,1
11029,7,2,5,13,33,42
110290,2,4,4,1,9,34
110291,6,1,2,9,13,30
110292,8,3,0,11,21,60
110293,4,3,0,11,21,63
110294,3,0,1,15,27,72
110295,13,3,6,10,26,50
110296,3,1,0,2,5,8
110297,6,0,8,7,0,31
110298,7,2,0,2,42,29
110299,8,4,4,18,19,35
1103,8,2,5,5,9,85
11030,1,4,9,18,17,47
110300,2,2,5,5,5,8
110301,0,3,0,11,21,99
110302,1,0,3,6,14,54
110303,2,4,9,12,10,93
110304,0,3,6,19,20,5
110305,13,0,3,6,29,54
110306,2,4,4,18,19,70
110307,2,0,3,6,29,95
110308,9,1,2,17,31,45
110309,9,2,5,5,9,85
11031,3,4,4,18,19,35
110310,2,1,2,17,7,45
110311,5,0,1,14,12,39
110312,5,1,0,9,13,18
110313,0,3,6,11,4,26
110314,2,1,5,5,28,7
110315,8,1,2,9,33,19
110316,0,0,3,13,20,58
110317,0,1,2,17,7,53
110318,9,1,2,9,31,87
110319,8,2,5,13,49,75
11032,5,1,0,13,16,74
110320,1,0,1,14,12,40
110321,5,4,9,18,6,47
110322,9,1,2,17,33,45
110323,1,4,9,12,46,33
110324,6,1,3,6,8,23
110325,5,1,2,13,49,19
110326,7,3,8,5,0,46
110327,0,3,6,11,21,26
110328,0,2,5,2,5,8
110329,2,2,0,2,5,29
11033,11,3,6,10,4,26
110330,1,2,4,10,41,92
110331,8,1,0,9,24,18
110332,1,1,2,9,33,19
110333,7,4,4,18,19,96
110334,6,3,8,7,35,73
110335,6,3,4,10,26,50
110336,10,4,4,10,27,65
110337,5,1,0,4,24,60
110338,1,4,4,18,17,79
110339,9,1,2,17,7,28
11034,11,1,8,4,34,69
110340,1,1,8,4,30,64
110341,1,0,1,14,23,97
110342,4,2,4,1,17,79
110343,6,0,1,3,38,49
110344,8,3,7,8,48,57
110345,5,1,0,2,1,55
110346,9,1,2,17,7,28
110347,5,2,0,11,21,63
110348,5,1,0,11,21,99
110349,4,1,2,17,7,3
11035,5,2,4,1,45,34
110350,1,0,3,6,14,16
110351,8,3,6,13,41,58
110352,11,1,0,2,21,99
110353,13,2,8,7,1,71
110354,0,3,6,19,4,26
110355,6,3,4,10,26,50
110356,7,3,6,11,4,26
110357,7,2,5,5,2,20
110358,7,3,8,7,32,32
110359,7,4,9,18,6,96
11036,3,1,0,4,24,7
110360,7,1,0,19,20,9
110361,14,3,8,7,35,91
110362,1,3,6,0,4,82
110363,1,1,3,4,24,23
110364,1,3,6,7,1,73
110365,0,0,6,15,47,12
110366,2,4,9,12,23,68
110367,6,4,4,1,17,79
110368,11,2,5,13,41,75
110369,4,1,2,9,14,83
11037,3,3,8,7,49,73
110370,5,4,9,18,6,47
110371,3,4,4,1,45,4
110372,0,4,9,12,25,13
110373,0,3,8,11,45,4
110374,6,0,1,15,12,77
110375,0,1,2,9,13,53
110376,0,0,1,15,22,72
110377,9,4,9,12,10,93
110378,8,4,1,14,10,15
110379,1,4,9,18,23,68
11038,6,3,6,19,11,90
110380,1,4,9,18,23,68
110381,1,0,3,6,8,78
110382,9,4,9,12,25,10
110383,1,0,1,14,0,97
110384,8,2,5,13,1,55
110385,4,0,8,3,38,11
110386,5,1,0,13,1,55
110387,4,2,5,1,39,94
110388,0,1,2,9,13,53
110389,10,0,1,14,0,86
11039,7,1,0,11,21,99
110390,1,1,0,4,21,99
110391,9,0,3,6,14,27
110392,7,2,5,5,1,71
110393,2,0,8,3,30,31
110394,0,0,3,6,30,31
110395,4,4,9,18,17,68
110396,10,1,2,9,31,87
110397,0,3,6,19,20,5
110398,10,4,4,10,26,50
110399,5,3,8,7,37,98
1104,11,1,2,4,24,18
11040,5,3,6,11,4,63
110400,7,1,3,9,8,19
110401,8,4,9,12,27,47
110402,3,2,0,11,21,99
110404,10,4,9,12,46,93
110405,5,4,4,15,17,4
110406,10,2,5,13,41,67
110407,8,3,6,19,20,9
110408,7,3,7,8,48,61
110409,5,1,0,9,13,30
11041,7,3,7,8,48,61
110410,7,4,4,18,19,96
110411,0,1,2,9,13,53
110412,7,1,0,2,42,87
110413,7,3,6,10,26,50
110414,2,1,2,13,33,55
110415,7,2,5,13,5,89
110416,0,0,3,2,37,98
110417,5,0,1,14,22,77
110418,7,3,6,10,4,50
11042,5,2,5,13,33,71
11043,9,2,5,13,41,92
11044,7,4,9,12,23,93
11045,3,2,5,17,44,67
11046,7,2,5,13,44,83
11047,5,1,2,2,33,19
11048,9,1,2,17,7,3
11049,7,2,0,11,21,99
1105,6,1,0,11,21,99
11050,2,2,4,1,9,85
11051,3,1,2,9,13,87
11052,7,2,5,13,41,92
11053,2,1,2,9,31,2
11054,2,1,3,6,14,38
11055,4,1,2,9,24,18
11056,8,1,2,13,33,19
11057,13,2,8,17,7,56
11058,2,1,2,2,24,37
11059,4,4,4,18,17,79
1106,0,4,1,14,0,86
11060,5,3,8,7,35,81
11061,9,1,2,17,7,3
11062,2,1,8,4,49,91
11063,9,4,9,1,17,68
11064,0,2,5,11,21,26
11065,0,1,2,17,31,2
11066,10,1,0,2,42,8
11067,3,2,0,11,5,24
11068,2,1,2,9,33,83
11069,6,2,6,13,41,26
1107,7,0,3,6,8,54
11070,2,2,5,1,9,85
11071,0,1,3,2,37,98
11072,0,1,2,9,33,83
11073,4,3,6,19,20,9
11074,2,3,6,11,4,26
11075,3,1,2,9,13,53
11076,11,4,4,18,32,96
11077,1,2,5,1,9,85
11078,3,3,7,0,15,52
11079,7,0,1,13,12,77
1108,11,0,1,14,29,40
11080,3,3,4,10,4,26
11081,1,1,2,9,31,18
11082,1,2,5,5,2,28
11083,8,1,0,11,21,60
11084,0,3,6,19,20,9
11085,5,1,0,2,1,55
11086,0,1,2,4,24,19
11087,16,2,8,13,16,56
11088,5,1,0,2,37,98
11089,0,0,8,3,49,31
1109,9,4,4,18,32,32
11090,15,0,3,6,8,78
11091,3,2,5,5,9,85
11092,1,1,2,9,13,78
11093,0,3,8,19,32,90
11094,8,1,2,9,13,18
11095,9,4,4,1,17,79
11096,7,4,1,14,12,39
11097,9,4,9,12,25,10
11098,0,4,4,12,27,65
11099,0,2,5,5,0,46
1110,5,3,6,0,4,82
11100,5,2,5,11,5,24
111001,3,1,2,17,31,2
111002,5,4,4,10,27,65
111003,1,1,2,17,7,28
111004,1,1,2,17,7,28
111005,3,3,6,7,35,73
111006,6,4,9,12,46,13
111008,0,1,0,4,37,36
111009,0,3,4,10,26,50
11101,0,3,6,10,26,50
111010,17,1,2,17,7,45
111011,3,4,9,12,46,33
111012,1,2,8,7,49,28
111013,9,1,3,4,30,64
111014,12,1,2,17,7,3
111015,5,3,8,7,35,81
111016,9,1,2,17,31,18
111017,3,2,5,13,1,71
111018,11,2,8,7,35,46
111019,3,1,2,4,30,64
111020,4,3,0,4,35,60
111021,6,3,6,10,26,90
111022,4,1,2,9,31,18
111024,8,3,6,19,11,90
111025,5,2,5,13,41,92
111026,14,3,8,7,35,3
111027,9,4,4,10,11,70
111028,3,0,1,14,0,86
111029,1,0,1,15,22,72
111030,2,1,0,4,24,60
111031,6,2,5,13,41,42
111032,3,1,2,9,31,2
111033,4,1,0,2,37,7
111034,1,3,8,7,1,31
111035,8,3,8,0,15,62
111037,6,3,4,10,26,50
111038,3,4,9,14,10,1
111039,6,3,0,11,21,29
11104,4,0,3,6,14,54
111040,6,1,0,2,42,37
111041,14,3,6,19,20,9
111042,9,2,5,17,44,28
111043,8,4,9,18,23,47
111044,6,1,2,17,16,45
111046,5,4,1,1,12,39
111047,9,2,5,13,44,85
111048,6,2,5,5,28,83
111049,11,3,6,19,20,9
11105,4,2,5,13,41,92
111050,7,2,5,5,5,8
111051,9,3,6,0,15,0
111052,9,1,0,4,24,36
111053,0,0,3,6,14,16
111054,6,0,3,19,20,58
111055,8,0,1,15,47,39
111056,2,1,8,4,49,36
111057,1,1,2,17,31,2
111058,1,1,2,9,13,53
111059,1,1,2,5,2,43
11106,10,4,4,18,19,96
111060,3,1,0,11,21,99
111061,4,3,8,7,32,32
111062,15,3,8,7,32,32
111063,8,1,2,9,33,71
111064,1,2,5,5,2,43
111065,3,1,2,9,7,64
111066,7,1,2,9,13,53
111067,8,1,0,2,37,98
111068,9,1,2,17,31,18
111069,9,4,9,12,10,21
11107,7,2,5,5,2,43
111070,8,0,3,5,28,7
111071,16,1,0,4,49,36
111072,7,0,1,15,12,72
111073,0,1,0,9,1,55
111074,11,1,0,2,42,37
111075,5,1,2,17,7,64
111076,4,1,2,17,7,27
111077,5,1,2,9,13,53
111078,5,2,8,4,49,75
11108,4,2,5,13,16,42
111080,4,3,8,3,30,11
111081,3,4,1,15,27,80
111082,7,4,9,18,19,96
111083,1,3,6,19,41,5
111084,10,0,3,14,28,7
111085,1,1,2,17,31,2
111086,9,3,8,7,35,81
111087,0,4,1,12,10,40
111088,3,2,4,10,11,6
111089,2,1,0,11,21,60
11109,7,4,9,18,23,51
111090,5,1,2,4,24,64
111091,6,2,4,15,41,92
111092,5,3,6,19,20,9
111093,5,3,6,13,49,75
111094,0,1,0,9,13,30
111095,6,4,9,18,46,33
111096,5,1,0,9,13,37
111097,5,1,0,11,21,99
111098,11,4,9,18,6,68
111099,9,2,5,5,2,8
1111,2,1,2,17,1,71
11110,13,2,0,2,37,98
111100,11,4,9,12,17,68
111101,9,4,9,1,39,22
111102,7,1,0,2,37,30
111104,2,1,2,13,16,42
111105,0,4,9,12,27,33
111106,12,2,5,13,1,71
111107,4,1,8,13,49,75
111108,2,4,5,1,23,14
111109,3,0,7,16,43,59
11111,5,2,5,7,1,15
111110,7,4,9,1,23,51
111111,2,3,6,19,20,90
111112,9,2,8,7,35,31
111113,4,2,5,13,16,74
111114,4,3,8,4,43,48
111115,9,2,5,5,2,28
111116,2,2,2,17,7,3
111118,0,1,2,9,31,83
111119,6,1,0,11,21,99
11112,3,0,3,3,49,1
111120,11,1,2,17,16,45
111121,7,2,0,11,21,26
111122,0,4,9,18,19,35
111123,8,1,2,9,33,71
111124,1,0,3,6,14,54
111125,9,1,2,9,33,27
111126,4,4,9,12,23,93
111127,6,1,0,4,24,60
111128,6,1,0,9,13,53
111129,6,4,9,1,45,14
11113,9,2,5,5,44,67
111130,2,2,5,5,2,97
111131,2,0,3,6,28,58
111132,5,4,9,12,23,93
111133,2,1,8,17,7,28
111134,3,1,0,2,42,30
111135,13,2,5,17,44,67
111136,6,2,5,13,33,83
111137,2,0,3,14,49,17
111138,2,2,8,17,7,28
111139,13,1,2,2,42,45
11114,10,4,4,18,11,90
111140,7,2,5,5,2,43
111141,14,3,8,7,35,81
111142,11,4,4,10,19,6
111143,5,3,6,7,11,73
111144,8,2,5,5,2,46
111145,1,1,0,2,21,55
111146,6,3,8,7,35,81
111147,9,0,3,6,30,95
111148,7,1,3,17,14,95
111149,9,4,9,12,32,15
11115,4,1,0,2,5,8
111150,2,4,9,18,6,51
111151,1,2,1,11,47,39
111152,4,4,9,12,10,93
111153,6,1,0,4,24,60
111154,1,1,0,4,24,99
111155,1,1,2,4,24,18
111156,2,3,8,7,49,90
111157,8,1,2,9,13,87
111158,7,1,3,6,14,23
111159,5,0,1,14,29,1
11116,8,0,1,15,22,77
111160,8,1,0,4,24,91
111162,0,1,0,2,42,29
111163,11,4,4,10,11,70
111164,8,1,2,9,33,83
111165,7,1,3,6,8,23
111166,0,2,5,5,28,97
111167,0,1,0,11,21,99
111168,8,2,5,5,37,8
111169,0,3,6,0,15,82
11117,2,3,8,3,38,49
111170,7,4,4,18,19,6
111171,6,0,1,14,49,1
111172,2,3,8,3,35,49
111173,5,4,9,18,6,96
111174,5,3,6,10,11,63
111175,2,1,2,4,24,64
111176,2,1,2,17,7,2
111177,0,3,8,0,3,41
111178,11,3,6,11,21,26
111179,1,1,3,6,14,38
11118,7,3,6,10,41,26
111180,7,3,4,10,26,50
111181,4,1,0,2,42,19
111182,0,3,8,3,30,11
111183,6,0,3,14,49,1
111184,0,4,9,12,46,13
111185,5,1,0,13,33,19
111186,6,1,0,11,1,55
111187,5,0,3,6,30,11
111188,6,0,3,14,29,16
111189,6,1,2,17,33,3
11119,3,3,4,10,4,92
111190,3,4,4,10,41,92
111191,16,0,3,3,30,11
111192,5,3,6,19,4,26
111193,4,4,4,12,19,35
111195,2,2,5,5,44,58
111196,6,1,2,9,33,36
111197,8,4,9,12,27,33
111198,12,3,6,14,0,90
111199,2,1,2,9,31,2
1112,5,1,2,9,13,30
11120,11,1,0,9,24,99
111200,4,1,2,17,7,45
111201,7,2,4,1,39,79
111202,5,4,4,18,19,70
111203,2,3,8,7,35,81
111204,11,2,5,7,49,73
111205,2,2,5,17,7,28
111206,0,1,0,9,24,37
111207,9,4,9,1,23,22
111208,10,1,0,2,37,98
111209,1,1,0,4,24,19
11121,9,1,2,17,7,45
111210,5,2,0,11,21,99
111211,5,2,5,13,1,75
111212,7,1,0,5,33,83
111213,3,2,5,1,9,85
111214,5,1,0,2,37,98
111215,2,1,2,17,31,38
111216,7,3,7,8,48,61
111217,3,3,6,19,4,82
111218,6,3,4,10,32,32
111219,1,3,8,7,35,73
11122,8,3,6,10,11,58
111220,4,3,6,11,21,60
111221,5,1,2,17,7,71
111222,1,1,2,17,7,28
111223,5,1,3,4,8,23
111224,2,4,9,12,10,40
111225,10,1,0,2,42,37
111226,8,3,6,11,21,63
111227,5,2,5,13,16,42
111228,11,2,5,5,2,43
111229,1,1,2,9,31,87
11123,4,0,3,14,29,1
111230,9,1,2,17,7,45
111231,8,1,0,2,42,37
111232,5,3,7,16,18,44
111233,4,4,4,1,17,79
111234,8,1,0,4,24,64
111235,0,4,4,10,11,70
111236,3,2,5,5,1,71
111237,0,1,0,4,24,54
111238,2,2,5,13,41,92
111239,7,0,3,2,28,39
11124,0,4,4,18,19,6
111240,6,2,6,11,4,26
111241,2,1,0,2,8,12
111242,3,4,9,1,23,51
111243,1,3,6,19,20,58
111244,5,3,6,19,3,41
111245,1,1,2,9,31,18
111246,0,2,5,1,44,67
111247,2,1,8,4,24,64
111248,5,1,0,4,24,64
111249,0,0,1,15,47,12
11125,0,3,6,19,20,9
111250,2,2,4,10,41,92
111251,7,2,5,5,5,8
111254,2,1,2,9,13,53
111255,8,0,3,3,30,11
111256,9,4,9,18,32,15
111258,1,0,1,3,38,80
111259,8,3,6,11,1,73
11126,7,0,1,15,47,39
111260,6,2,5,13,16,42
111261,5,1,0,6,8,23
111262,0,2,5,5,9,20
111263,2,4,9,18,6,68
111264,10,1,7,16,43,59
111265,5,3,6,11,4,26
111266,0,0,3,19,20,58
111267,6,2,5,13,1,71
111268,4,2,5,1,39,79
111269,2,0,3,6,29,1
11127,5,0,3,6,47,12
111270,6,0,1,15,27,72
111271,5,4,4,18,19,35
111272,0,1,8,4,49,91
111273,1,1,8,4,7,3
111274,9,3,8,7,35,81
111275,11,2,5,5,28,7
111276,1,1,0,5,1,55
111277,4,3,6,0,15,84
111278,7,4,4,10,19,70
111279,8,1,8,7,30,91
11128,16,0,3,2,37,98
111280,3,0,1,3,32,1
111281,7,0,1,14,29,16
111282,1,3,7,16,43,48
111283,3,0,3,6,14,16
111284,7,0,1,14,12,77
111285,1,1,2,17,2,28
111286,5,3,7,7,32,73
111287,9,1,2,17,33,2
111288,9,2,5,5,44,20
111289,9,3,8,7,35,81
11129,7,0,3,14,29,16
111290,2,2,5,14,39,97
111291,1,1,3,6,14,38
111292,9,0,7,16,43,59
111293,4,2,8,7,35,73
111294,1,2,5,1,44,67
111295,1,0,3,6,14,95
111296,8,1,2,17,31,53
111297,3,4,9,12,46,93
111298,9,1,2,17,7,3
111299,4,4,9,12,10,40
1113,0,3,7,16,18,44
11130,4,1,0,2,24,7
111300,3,3,6,19,4,82
111301,11,4,9,12,46,13
111303,1,1,2,9,13,53
111304,4,2,5,5,44,67
111305,10,1,0,2,37,98
111306,6,4,9,18,6,13
111307,1,2,5,5,2,20
111308,7,0,3,6,29,54
111309,7,1,0,4,24,64
11131,5,2,5,13,9,85
111310,11,1,2,9,31,18
111311,9,1,2,17,7,2
111312,1,3,7,16,43,48
111313,0,3,6,19,4,82
111314,3,2,5,5,2,43
111315,5,2,5,1,39,22
111316,3,4,9,12,10,93
111317,2,1,2,9,33,36
111318,3,1,2,9,1,36
111319,2,4,4,18,19,79
11132,9,1,2,17,7,28
111320,14,3,8,7,35,81
111321,3,3,8,3,38,49
111322,11,0,3,6,30,11
111323,14,3,8,11,21,60
111324,1,1,2,17,31,2
111326,2,1,3,6,8,23
111327,9,0,1,14,12,86
111328,4,3,6,11,11,63
111329,7,0,1,3,38,80
11133,8,2,5,13,16,55
111330,2,2,5,5,9,85
111331,6,1,0,2,42,37
111332,12,2,5,1,39,94
111333,1,1,2,9,31,18
111334,9,3,6,0,4,82
111335,9,1,2,17,7,3
111336,0,4,9,12,10,21
111337,0,3,6,19,20,9
111338,7,0,8,4,30,91
111339,0,2,1,15,12,75
11134,4,1,2,9,31,2
111340,6,3,0,4,24,60
111341,4,3,6,0,3,41
111342,2,0,8,3,38,49
111343,6,0,3,6,28,16
111344,10,1,0,4,24,91
111345,12,0,1,14,0,86
111346,3,4,9,12,46,93
111347,14,3,8,7,35,81
111348,4,3,8,7,35,81
111349,4,2,6,11,21,26
11135,8,3,8,3,38,49
111350,1,1,2,9,13,53
111351,9,1,0,4,24,60
111352,11,0,1,14,10,40
111353,11,3,6,19,20,9
111354,4,1,2,13,33,45
111355,11,4,9,18,6,13
111356,4,3,6,11,21,63
111357,5,1,5,5,2,7
111358,8,2,5,5,9,85
111359,8,0,1,14,29,86
11136,2,0,3,6,8,94
111360,5,4,9,12,40,76
111361,7,4,9,18,23,51
111362,5,1,2,13,33,83
111363,11,3,8,7,35,73
111364,5,3,6,11,47,12
111365,4,3,6,10,26,50
111366,4,3,8,7,7,56
111367,5,0,0,2,37,98
111368,8,2,6,19,20,58
111369,2,1,2,9,31,64
11137,0,2,5,7,5,8
111370,4,1,2,9,31,18
111371,4,2,5,5,28,7
111372,13,1,0,2,37,98
111373,2,2,5,5,9,85
111375,4,1,2,17,31,2
111376,0,4,4,18,19,70
111377,6,3,6,0,4,82
111378,5,0,3,6,8,54
111379,10,0,3,6,14,23
11138,9,2,5,5,0,46
111380,10,3,7,16,43,48
111381,2,1,2,17,7,2
111382,6,1,3,6,14,38
111383,5,1,0,4,24,64
111384,6,1,2,9,13,87
111385,1,4,9,12,25,93
111386,5,3,6,19,20,9
111387,0,3,6,13,1,73
111388,6,2,5,13,33,27
111389,0,1,3,6,14,17
11139,9,4,4,18,19,70
111390,5,4,9,18,6,96
111391,5,0,3,4,49,54
111392,0,0,3,6,14,16
111394,5,4,9,12,10,21
111395,13,4,4,18,32,32
111396,5,3,6,10,4,82
111397,7,3,8,7,35,31
111398,6,0,1,15,12,77
111399,7,4,9,18,6,68
1114,1,2,2,17,7,71
11140,7,2,0,11,21,99
111400,5,3,8,7,35,49
111401,5,0,5,14,29,95
111402,5,2,4,10,41,79
111403,6,3,6,0,3,90
111404,5,3,6,11,21,63
111405,8,2,8,11,1,8
111406,8,4,4,10,32,32
111407,13,2,1,15,41,92
111408,7,4,4,18,19,35
111409,13,4,4,10,19,6
11141,2,2,5,13,44,67
111410,13,2,4,10,11,63
111411,13,4,1,12,27,33
111412,8,4,4,1,45,15
111413,8,0,1,3,30,11
111416,8,4,9,18,25,10
111417,11,3,6,19,11,90
111418,2,0,7,16,43,59
111419,8,1,0,4,21,99
11142,3,3,4,10,26,50
111421,5,3,7,16,43,48
111422,8,3,7,8,36,25
111423,11,4,4,10,11,79
111424,13,4,9,18,19,96
111426,5,3,6,19,21,9
111427,5,4,9,18,32,32
111428,13,1,0,2,1,55
111429,5,2,5,5,1,58
11143,9,2,5,5,44,67
111430,1,4,4,18,19,70
111431,6,2,0,13,16,74
111432,2,4,9,18,6,13
111433,7,4,9,18,19,6
111434,8,3,6,10,26,50
111435,9,4,9,18,23,51
111436,9,1,2,17,7,71
111437,5,3,6,19,1,58
111438,13,1,2,9,2,53
11144,3,0,1,14,29,1
111443,5,0,1,15,26,12
111444,5,2,5,13,16,74
111445,3,3,4,10,4,50
111446,4,1,2,13,33,83
111448,10,3,8,7,35,81
111449,5,0,3,6,22,17
11145,0,1,2,9,33,55
111450,13,1,3,4,30,23
111451,5,0,4,15,27,65
111453,5,0,1,15,47,12
111454,5,0,5,13,22,77
111455,5,3,6,10,26,50
111456,5,1,0,11,21,99
111458,13,4,4,18,19,35
111459,13,2,4,1,11,34
11146,7,1,2,9,31,87
111460,11,3,1,3,0,86
111461,13,3,6,7,49,73
111462,13,3,8,7,32,32
111463,10,2,8,7,1,71
111464,12,3,6,11,21,63
111465,9,2,5,17,44,67
111466,1,4,9,12,46,33
111467,5,4,9,18,6,96
111468,5,0,8,3,38,31
111469,8,2,4,10,47,12
11147,9,0,1,14,29,77
111470,6,2,5,1,9,85
111471,9,1,2,17,7,28
111472,6,1,3,6,33,17
111473,5,0,3,6,8,23
11148,9,1,2,4,24,3
11149,0,4,9,18,6,96
1115,9,4,9,12,46,13
11150,2,3,8,3,40,56
11151,14,3,7,8,36,25
11152,6,1,0,2,37,98
11153,2,0,3,14,29,95
11154,7,2,5,5,9,20
11155,8,2,5,5,39,94
11156,9,1,8,4,30,64
11157,7,4,4,10,32,32
11159,4,1,8,4,7,64
11160,4,4,9,18,6,47
11161,0,0,3,14,28,97
11162,14,1,0,11,21,99
11163,7,3,6,19,4,82
11164,7,0,1,15,22,72
11165,10,2,5,13,5,24
11166,6,1,2,9,16,87
11167,5,3,8,7,1,36
11168,2,3,8,7,32,46
11169,2,0,3,6,14,17
1117,2,3,8,7,35,81
11170,1,3,8,7,7,3
11171,14,0,3,14,22,77
11172,16,3,8,7,35,73
11173,3,2,5,5,2,20
11174,7,0,6,11,21,12
11175,0,0,3,6,14,16
11176,9,3,6,11,21,63
11177,9,1,0,11,21,60
11178,8,2,5,5,37,98
11179,0,0,1,14,29,97
1118,10,3,6,19,3,41
11180,4,1,3,6,8,78
11181,0,1,2,9,1,55
11183,0,2,0,11,21,99
11184,0,0,1,15,47,12
11185,12,1,3,5,28,95
11186,5,4,1,14,0,97
11187,4,2,5,5,5,8
11188,9,3,6,13,41,92
11189,13,3,4,10,11,79
1119,6,1,0,9,13,30
11190,2,1,0,9,13,53
11191,7,0,1,3,29,39
11192,2,2,5,1,41,92
11193,4,2,6,13,49,19
11194,5,3,8,7,35,73
11195,2,1,0,11,21,8
11196,1,3,8,7,32,81
11197,2,0,3,3,30,11
11198,4,1,2,17,31,2
11199,0,3,8,7,26,73
1120,5,3,7,16,43,59
11200,1,1,2,17,30,27
112001,1,2,2,17,7,3
112002,2,2,5,5,9,15
112003,9,1,2,17,31,2
112004,3,1,0,2,24,37
112005,13,4,9,18,25,10
112006,13,3,6,11,11,63
112007,6,1,0,2,42,37
112008,0,3,6,19,3,60
112009,4,1,8,7,35,28
11201,16,2,5,1,5,24
112010,12,4,9,12,6,51
112011,0,4,9,12,46,33
112012,9,0,3,6,14,38
112013,1,0,1,3,22,31
112014,9,2,8,7,0,46
112015,7,1,3,6,14,38
112016,0,0,1,3,38,31
112017,11,4,1,12,10,40
112018,1,3,1,10,38,80
112019,13,0,3,4,30,91
11202,7,2,5,13,5,24
112020,4,0,6,11,11,26
112021,1,2,5,5,49,36
112022,0,0,1,14,10,40
112023,3,1,0,11,21,99
112025,7,4,1,14,10,40
112026,1,2,5,5,44,67
112027,5,2,8,7,7,3
112028,11,2,5,13,20,58
112029,11,3,6,10,26,50
11203,8,1,0,9,13,55
112030,3,2,5,5,2,43
112031,11,3,6,0,15,84
112032,10,3,6,0,15,84
112033,1,2,5,13,44,67
112034,2,0,3,17,44,27
112035,3,2,0,11,49,75
112036,5,1,8,17,7,91
112037,4,4,4,18,32,90
112038,0,1,0,2,37,37
112039,1,1,2,9,13,87
11204,6,3,7,16,43,48
112040,0,1,2,9,13,53
112041,5,4,9,12,12,47
112042,0,1,0,2,16,29
112043,2,0,1,14,10,40
112044,6,2,5,5,39,24
112045,1,3,8,7,32,46
112046,1,3,8,7,35,46
112047,7,1,2,9,13,64
112048,0,4,1,12,45,93
11205,3,2,4,10,41,92
112050,10,3,4,10,26,50
112052,4,1,2,17,7,8
112053,4,2,5,13,16,42
112054,9,3,6,0,4,82
112055,0,4,4,18,19,96
112056,10,2,0,2,5,24
112057,4,4,9,1,17,47
112058,10,3,6,19,20,9
112059,9,2,5,17,7,3
11206,8,1,0,4,24,64
112060,2,2,5,5,2,46
112061,9,2,8,7,7,28
112062,8,4,9,12,45,39
112063,0,3,6,19,20,9
112064,13,2,8,7,35,73
112065,2,2,2,5,2,30
112066,5,1,2,17,31,18
112067,0,0,3,6,14,38
112069,4,4,9,12,46,93
11207,1,3,8,7,32,32
112070,1,3,6,11,21,99
112072,2,3,7,8,48,61
112073,5,3,8,7,35,73
112074,2,0,3,14,29,95
112075,11,0,1,15,47,1
112077,2,0,1,14,0,97
112079,6,1,3,6,39,94
11208,5,3,6,19,20,9
112080,6,4,4,10,17,79
112081,8,4,9,12,46,33
112082,1,3,6,10,4,73
112083,9,3,6,11,21,73
112084,7,4,4,18,9,15
112085,6,1,2,9,33,83
112086,1,3,8,11,21,46
112087,7,4,1,1,9,39
112088,7,1,2,9,13,53
112089,0,4,4,10,11,70
11209,8,1,2,9,16,83
112090,9,3,8,7,7,3
112091,7,0,8,14,49,46
112092,13,4,9,18,6,96
112093,4,0,3,17,44,27
112094,9,0,1,14,28,97
112095,5,4,4,10,32,32
112096,6,0,1,14,22,77
112097,9,3,8,7,35,81
112099,6,2,5,13,41,42
1121,1,0,3,6,28,95
11210,9,3,8,0,15,0
112100,4,2,5,7,41,73
112101,2,2,5,1,39,22
112102,1,0,3,14,28,95
112103,2,0,1,14,0,97
112104,2,1,2,9,31,38
112105,7,4,9,18,6,51
112106,11,0,3,6,28,54
112107,4,1,2,17,7,28
112108,6,2,5,5,2,7
112109,1,4,9,12,46,93
11211,4,0,1,14,29,77
112110,9,2,8,17,7,3
112111,1,0,1,15,12,1
112112,1,2,4,10,26,50
112113,1,1,2,9,31,2
112114,5,1,0,2,1,55
112115,0,0,1,14,10,40
112116,7,3,4,10,26,50
112117,1,0,1,14,22,40
112118,9,1,2,17,7,45
112119,2,0,3,14,28,95
11212,6,0,1,15,12,72
112120,2,2,5,13,33,75
112121,2,1,0,9,33,55
112122,5,3,6,11,21,63
112123,2,0,1,14,29,97
112124,11,3,0,4,49,36
112125,2,0,3,6,14,95
112126,0,1,3,6,14,38
112127,0,3,7,16,18,44
112128,4,1,0,2,37,98
112129,8,4,9,1,45,4
11213,2,0,3,11,49,58
112130,1,1,0,9,21,99
112131,0,1,3,6,8,23
112132,9,3,8,16,43,59
112133,0,2,4,10,26,50
112134,1,1,0,13,33,58
112135,0,1,3,6,14,38
112136,4,3,6,0,4,63
112137,5,0,5,13,41,12
112138,2,1,2,17,7,28
112139,11,2,0,11,21,55
11214,7,4,9,18,6,68
112140,5,2,5,1,44,67
112142,3,4,4,1,9,14
112143,9,2,2,17,7,67
112144,11,2,8,13,49,75
112145,0,4,1,12,10,40
112146,0,2,5,13,41,92
112147,7,2,5,13,40,76
112148,0,1,3,6,14,38
112149,0,1,0,2,37,36
11215,6,0,3,6,30,11
112150,7,2,5,13,41,92
112151,5,1,2,13,33,83
112152,9,1,0,4,37,36
