205247	205071  agreement
9811208	9403254	disagreement
9811208	9408376	disagreement
9811208	9504334	disagreement
9811208	9512348	disagreement
9408376	9305305	disagreement
9408376	9402364	disagreement
9408376	9403225	agreement
9408376	9403254	disagreement
9408376	9404211	agreement
9408376	9405304	disagreement
9408376	9406206	agreement
9403370	9211244	disagreement
9403370	9304302	agreement
9403370	9305267	agreement
9403370	9305348	disagreement
9403370	9308264	neutral
9403370	9403254	disagreement
9409428	9403225	agreement
9409428	9403254	disagreement
9712386	9402360	disagreement
9712386	9402364	disagreement
9712386	9403254	agreement
9712386	9406206	agreement
9712386	9408376	Neutral
9712386	9409427	agreement
9712386	9501402	Agreement
9712386	9502300	Neutral
9712386	9503234	disagreement
9712386	9504334	disagreement
9712386	9510270	disagreement
9712386	9512348	disagreement
9408331	9403370	disagreement
8089	7341	disagreement
8089	9210239	agreement
8089	9410345	disagreement
8089	9507465	disagreement
8089	9508243	disagreement
8089	9510235	agreement
8089	9601388	disagreement
8089	9604393	disagreement
8089	9606314	agreement
8089	9606345	neutral
8089	9606399	disagreement
8089	9609498	disagreement
8089	9610242	disagreement
8089	9610451	disagreement
8089	9702367	disagreement
8089	9703420	disagreement
8089	9707500	agreement
8089	9804288	disagreement
8089	9804436	disagreement
8089	9809243	agreement
8089	9905409	disagreement
8089	9909541	disagreement
8089	9910464	agreement
8089	9912370	agreement
9804436	9604295	agreement
9804436	9604441	neutral
9804436	9606314	neutral
9804436	9608434	agreement
9804436	9702367	disagreement
9804436	9703420	agreement
9804436	9707500	agreement
9804436	9707515	disagreement
9804436	9709436	disagreement
9804436	9710270	agreement
9804436	9712447	agreement
9804436	9802298	agreement
9510235	9407287	disagreement
9510235	9410345	agreement
9510235	9502348	disagreement
9510235	9505422	disagreement
9804288	9507218	agreement
9804288	9606345	disagreement
9804288	9606399	disagreement
9601388	9211202	disagreement
9601388	9212225	disagreement
9601388	9305306	agreement
9601388	9305322	agreement
9601388	9310321	disagreement
9601388	9404270	disagreement
9601388	9406212	disagreement
9601388	9406315	disagreement
9601388	9407287	disagreement
9601388	9408292	disagreement
9601388	9508398	agreement
9601388	9602229	disagreement
9410345	9306289	disagreement
9410345	9308322	agreement
9410345	9403383	disagreement
9410345	9404270	disagreement
9410345	9407287	disagreement
9809243	9601388	Neutral
9809243	9609498	agreement
9809243	9702367	neutral
9809243	9804288	disagreement
9809243	9806255	disagreement
9809243	9807369	disagreement
9905409	9210239	agreement
9905409	9210262	agreement
9905409	9211202	disagreement
9905409	9403361	agreement
9905409	9404322	disagreement
9905409	9408366	disagreement
9905409	9410239	agreement
9905409	9410345	agreement
9905409	9501369	neutral
9905409	9503221	disagreement
9905409	9503291	neutral
9905409	9507218	disagreement
9905409	9507465	Disagreement
9905409	9508243	agreement
9905409	9510235	disagreement
9905409	9602374	disagreement
9905409	9603266	disagreement
9905409	9604393	disagreement
9905409	9606345	neutral
9905409	9606399	disagreement
9905409	9606410	agreement
9905409	9608322	disagreement
9905409	9609498	agreement
9905409	9702263	agreement
9905409	9702367	Neutral
9905409	9710374	disagreement
9905409	9803445	disagreement
9905409	9804212	agreement
9905409	9804288	disagreement
9905409	9806249	disagreement
9905409	9807211	disagreement
9905409	9809243	disagreement
9905409	9810220	The papers are unrelated.
9703420	9312279	disagreement
9703420	9406315	disagreement
9703420	9410404	agreement
9703420	9501369	disagreement
9703420	9502336	disagreement
9703420	9508347	disagreement
9703420	9510232	disagreement
9703420	9602236	disagreement
9703420	9604295	agreement
9703420	9604441	agreement
9703420	9606314	agreement
9703420	9606399	agreement
9703420	9609226	disagreement
9508243	9303255	disagreement
9508243	9406315	agreement
9507465	9301229	disagreement
9507465	9410404	neutral
9507465	9505343	disagreement
9507465	9507218	disagreement
9609498	9405303	disagreement
9609498	9410404	disagreement
9609498	9509237	disagreement
9609498	9602213	disagreement
9609498	9606399	disagreement
9606345	9303255	agreement
9606345	9403347	disagreement
9606345	9406315	agreement
9606345	9410404	disagreement
9606345	9502336	agreement
9606345	9506233	agreement
9606345	9506423	disagreement
9606345	9506442	disagreement
9910464	9405303	agreement
9910464	9507218	Disagreement
9910464	9508347	disagreement
9910464	9512406	disagreement
9910464	9602213	disagreement
9910464	9606314	agreement
9910464	9702263	Agreement
9910464	9703420	agreement
9910464	9706229	agreement
9910464	9710374	disagreement
9910464	9804436	agreement
9910464	9805509	disagreement
9910464	9809398	agreement
9910464	9809443	agreement
9910464	9809487	agreement
9910464	9905409	disagreement
9910464	9907231	neutral
9910464	9909432	agreement
9910464	9909541	agreement
9702367	9210239	disagreement
9702367	9211202	agreement
9702367	9303255	agreement
9702367	9303266	agreement
9702367	9306299	agreement
9702367	9306302	agreement
9702367	9308322	agreement
9702367	9310321	agreement
9702367	9402277	neutral
9702367	9402286	agreement
9702367	9403251	agreement
9702367	9405323	agreement
9702367	9406315	disagreement
9702367	9407374	agreement
9702367	9408336	agreement
9702367	9409289	disagreement
9702367	9410404	Neutral
9702367	9502336	agreement
9702367	9504407	disagreement
9702367	9507218	agreement
9702367	9507465	disagreement
9702367	9508243	disagreement
9702367	9508244	agreement
9702367	9508246	Neutral
9702367	9511299	agreement
9702367	9512305	disagreement
9702367	9602213	agreement
9702367	9602236	disagreement
9702367	9603405	disagreement
9702367	9604210	agreement
9702367	9604230	agreement
9702367	9604393	disagreement
9702367	9605367	disagreement
9702367	9606345	agreement
9702367	9606389	disagreement
9702367	9606399	neutral
9702367	9607252	disagreement
9702367	9608461	agreement
9702367	9609498	agreement
9702367	9610303	Neutral
9702367	9701248	agreement
7341	1053	disagreement
7341	2198	disagreement
7341	3324	disagreement
7341	9210262	agreement
7341	9410345	disagreement
7341	9411409	disagreement
7341	9508347	disagreement
7341	9512406	neutral
7341	9606345	disagreement
7341	9606399	agreement
7341	9607355	disagreement
7341	9607440	neutral
7341	9608322	disagreement
7341	9610242	disagreement
7341	9610451	disagreement
7341	9702367	neutrality
7341	9703420	agreement
7341	9704255	disagreement
7341	9803445	disagreement
7341	9804288	disagreement
7341	9804436	disagreement
7341	9805509	disagreement
7341	9809398	agreement
7341	9809443	agreement
7341	9905409	agreement
7341	9907317	neutral
7341	9909541	disagreement
7341	9912371	agreement
9606314	9312260	disagreement
9606314	9312279	disagreement
9606314	9410404	agreement
9606314	9501369	agreement
9606314	9502336	disagreement
9606314	9508347	disagreement
9606314	9510232	disagreement
9606314	9604295	agreement
9606314	9604441	agreement
9606314	9605271	agreement
9912370	9211202	disagreement
9912370	9403251	disagreement
9912370	9408336	agreement
9912370	9410345	disagreement
9912370	9503221	disagreement
9912370	9503291	disagreement
9912370	9507218	disagreement
9912370	9507465	disagreement
9912370	9508243	neutral
9912370	9509406	Neutral
9912370	9510235	disagreement
9912370	9601388	disagreement
9912370	9604393	agreement
9912370	9606345	disagreement
9912370	9606399	neutral
9912370	9609498	disagreement
9912370	9610231	Disagreement
9912370	9610451	disagreement
9912370	9702367	agreement
9912370	9711368	agreement
9912370	9803445	agreement
9912370	9804288	disagreement
9912370	9805309	agreement
9912370	9806249	disagreement
9912370	9806255	disagreement
9912370	9806404	agreement
9912370	9806491	disagreement
9912370	9806510	disagreement
9912370	9809243	agreement
9912370	9810220	disagreement
9912370	9812266	disagreement
9912370	9903282	disagreement
9912370	9905409	disagreement
9604393	9303255	agreement
9604393	9306241	disagreement
9604393	9401328	disagreement
9604393	9402214	disagreement
9604393	9402285	disagreement
9604393	9407287	disagreement
9604393	9410345	agreement
9604393	9410404	agreement
9604393	9411267	neutral
9604393	9504277	disagreement
9604393	9506280	disagreement
9604393	9507403	disagreement
9604393	9507465	disagreement
9707500	9312279	disagreement
9707500	9501213	disagreement
9707500	9604295	agreement
9707500	9604441	agreement
9707500	9606314	agreement
9707500	9702367	neutral
9707500	9703420	disagreement
9707500	9706502	disagreement
9707500	9707352	disagreement
9909541	9405303	agreement
9909541	9407347	disagreement
9909541	9507218	Agreement
9909541	9508347	agreement
9909541	9509406	disagreement
9909541	9601388	disagreement
9909541	9602213	agreement
9909541	9606314	agreement
9909541	9612250	disagreement
9909541	9702367	neutral
9909541	9703373	disagreement
9909541	9703420	agreement
9909541	9802298	agreement
9909541	9802357	Disagreement
9909541	9804288	disagreement
9909541	9804436	agreement
9909541	9805509	disagreement
9909541	9809398	agreement
9909541	9809443	Agreement
9909541	9809487	agreement
9909541	9905294	agreement
9909541	9908425	disagreement
9909541	9909489	disagreement
112328	1295	agreement
112328	7251	disagreement
112328	101305	disagreement
112328	102257	agreement
112328	104259	agreement
112328	108084	disagreement
112328	109122	agreement
112328	110032	disagreement
112328	110277	disagreement
112328	9310236	disagreement
112328	9403400	disagreement
112328	9503209	disagreement
112328	9610209	agreement
112328	9702245	agreement
112328	9707481	disagreement
112328	9711287	disagreement
112328	9711391	disagreement
112328	9804227	disagreement
112328	9804241	agreement
112328	9805270	disagreement
112328	9812205	disagreement
112328	9812371	disagreement
112328	9905550	disagreement
112328	9907489	disagreement
112328	9910238	agreement
112328	9910424	neutral
112328	9911414	agreement
7251	1286	Disagreement
7251	4087	agreement
7251	9402360	agreement
7251	9402364	disagreement
7251	9411229	disagreement
7251	9503209	disagreement
7251	9706430	disagreement
7251	9711287	agreement
7251	9803363	disagreement
7251	9804227	agreement
7251	9804241	disagreement
7251	9805270	disagreement
7251	9807421	agreement
7251	9809423	neutral
7251	9811239	agreement
7251	9905550	disagreement
7251	9906475	agreement
7251	9907489	disagreement
7251	9907509	disagreement
7251	9910238	disagreement
7251	9911414	disagreement
7251	9911434	agreement
7251	9911490	agreement
7251	9912391	agreement
9503209	9405304	disagreement
9503209	9406392	disagreement
9503209	9407394	agreement
9503209	9407407	disagreement
9503209	9502352	disagreement
9503209	9502390	disagreement
110032	2213	disagreement
110032	9337	disagreement
110032	10003	disagreement
110032	101305	agreement
110032	102145	agreement
110032	102146	neutral
110032	102147	disagreement
110032	102157	disagreement
110032	102204	disagreement
110032	102315	disagreement
110032	102331	disagreement
110032	103125	disagreement
110032	103182	agreement
110032	103280	disagreement
110032	106352	disagreement
110032	107097	disagreement
110032	9210235	disagreement
110032	9210240	neutral
110032	9303202	disagreement
110032	9306205	agreement
110032	9306309	disagreement
110032	9308336	disagreement
110032	9309293	disagreement
110032	9311340	disagreement
110032	9401241	disagreement
110032	9402253	neutral
110032	9402254	agreement
110032	9405233	disagreement
110032	9406224	disagreement
110032	9406245	disagreement
110032	9410231	neutral
110032	9507386	disagreement
110032	9512396	neutral
110032	9602206	disagreement
110032	9606211	disagreement
9804241	9402360	agreement
9804241	9402364	disagreement
9804241	9408380	neutral
9804241	9503209	disagreement
9804241	9610209	agreement
9804241	9702245	disagreement
9804241	9703290	disagreement
9804241	9708372	Neutral
9804241	9711287	disagreement
9804241	9711391	disagreement
9804241	9712222	agreement
9804241	9712302	disagreement
9804241	9801397	agreement
9804241	9802373	disagreement
9804241	9802379	agreement
9804241	9803337	disagreement
9804241	9803363	disagreement
9804241	9803454	agreement
9804241	9804227	agreement
110277	4087	agreement
110277	7251	agreement
110277	8102	disagreement
110277	101236	disagreement
110277	101305	agreement
110277	104259	disagreement
110277	105008	agreement
110277	107209	disagreement
110277	108084	disagreement
110277	109122	neutral
110277	9402360	agreement
110277	9402364	disagreement
110277	9411229	agreement
110277	9503209	disagreement
110277	9707481	disagreement
110277	9804227	neutral
110277	9804241	disagreement
110277	9807443	agreement
110277	9907240	agreement
104259	1295	disagreement
104259	1312	neutral
104259	2075	disagreement
104259	4087	disagreement
104259	5020	agreement
104259	101305	disagreement
104259	108084	disagreement
104259	109122	agreement
104259	9310236	agreement
104259	9402210	disagreement
104259	9402360	Neutral
104259	9402364	disagreement
104259	9403400	disagreement
104259	9411229	disagreement
104259	9411260	neutral
104259	9503209	disagreement
104259	9610209	agreement
104259	9702245	agreement
104259	9707481	agreement
104259	9711287	disagreement
104259	9804227	agreement
104259	9804241	disagreement
104259	9805270	disagreement
104259	9812205	disagreement
104259	9812371	neutral
104259	9907240	disagreement
104259	9911490	agreement
104259	9912391	Neutral
9907489	9610209	disagreement
9907489	9701294	disagreement
9907489	9702245	disagreement
9907489	9707481	agreement
9907489	9711292	disagreement
9907489	9711391	disagreement
9907489	9712222	disagreement
9907489	9712302	agreement
9907489	9801356	disagreement
9907489	9801397	disagreement
9907489	9802365	disagreement
9907489	9802379	disagreement
9907489	9803363	agreement
9907489	9803454	agreement
9907489	9805270	disagreement
9907489	9805424	agreement
9907489	9807421	agreement
9907489	9810496	disagreement
9907489	9812205	disagreement
9907489	9901394	disagreement
9907489	9903260	disagreement
9907489	9903355	disagreement
9907489	9904278	disagreement
9907489	9904468	disagreement
9907489	9905550	Neutral
9907489	9906475	disagreement
9907489	9907240	disagreement
9804227	9310236	disagreement
9804227	9311337	disagreement
9804227	9402360	disagreement
9804227	9402364	agreement
9804227	9405204	disagreement
9804227	9405304	agreement
9804227	9406329	disagreement
9804227	9408376	disagreement
9804227	9408380	agreement
9804227	9411229	agreement
9804227	9501402	disagreement
9804227	9502224	disagreement
9804227	9502300	disagreement
9804227	9503209	disagreement
9804227	9505426	disagreement
9804227	9610209	neutral
9804227	9702245	disagreement
9804227	9702276	disagreement
9804227	9707525	agreement
9804227	9711287	disagreement
9804227	9801356	agreement
9804227	9803363	disagreement
9804227	9803454	disagreement
9812205	9302208	disagreement
9812205	9306320	disagreement
9812205	9610209	disagreement
9812205	9702245	agreement
9812205	9703319	disagreement
9812205	9805216	disagreement
9812371	9310236	disagreement
9812371	9403400	agreement
9812371	9407339	disagreement
9812371	9504273	disagreement
9812371	9605424	agreement
9812371	9610209	disagreement
9812371	9611388	disagreement
9812371	9707481	agreement
9812371	9711287	agreement
9812371	9711391	disagreement
9812371	9812205	disagreement
9910424	9407339	disagreement
9910424	9408298	disagreement
9910424	9512327	disagreement
9910424	9608491	agreement
9910424	9610209	agreement
9910424	9610534	disagreement
9910424	9702218	disagreement
9910424	9702245	disagreement
9910424	9703298	agreement
9910424	9707313	disagreement
9910424	9707337	disagreement
9910424	9707481	disagreement
9910424	9708223	disagreement
9910424	9711287	agreement
9910424	9711391	disagreement
9910424	9712467	agreement
9910424	9801397	disagreement
9910424	9802379	disagreement
9910424	9803454	disagreement
9910424	9804227	disagreement
9910424	9804241	agreement
9910424	9805270	disagreement
9910424	9805424	disagreement
9910424	9807421	agreement
9910424	9808463	disagreement
9910424	9809341	disagreement
9910424	9812205	disagreement
9910424	9812371	neutral
9910424	9901394	neutral
9910424	9903260	disagreement
9910424	9903355	disagreement
9910424	9903498	disagreement
9910424	9904278	agreement
9910424	9904468	agreement
9910424	9904478	disagreement
9910424	9907240	agreement
9910424	9907489	disagreement
9910424	9909495	agreement
9910424	9910209	disagreement
9910424	9910238	disagreement
9910238	9310236	neutral
9910238	9407339	disagreement
9910238	9504273	disagreement
9910238	9512327	disagreement
9910238	9608491	neutral
9910238	9610209	agreement
9910238	9611388	disagreement
9910238	9701294	disagreement
9910238	9704245	disagreement
9910238	9707481	agreement
9910238	9711287	disagreement
9910238	9711391	agreement
9910238	9801397	agreement
9910238	9802365	disagreement
9910238	9802379	neutral
9910238	9804241	disagreement
9910238	9805424	disagreement
9910238	9807421	disagreement
9910238	9809229	agreement
9910238	9809230	disagreement
9910238	9809423	disagreement
9910238	9812205	disagreement
9910238	9812371	disagreement
9910238	9903260	disagreement
9910238	9903355	disagreement
9910238	9903498	disagreement
9910238	9904278	disagreement
9910238	9904468	disagreement
9910238	9904479	agreement
9910238	9907240	disagreement
9910238	9907489	agreement
102257	3032	disagreement
102257	3107	disagreement
102257	4018	disagreement
102257	6096	disagreement
102257	7197	agreement
102257	11254	disagreement
102257	9310236	disagreement
102257	9406287	agreement
102257	9407339	disagreement
102257	9608491	disagreement
102257	9610209	agreement
102257	9610534	disagreement
102257	9701294	disagreement
102257	9703298	disagreement
102257	9707313	agreement
102257	9707481	disagreement
102257	9711287	agreement
102257	9711391	agreement
102257	9712467	disagreement
102257	9804227	disagreement
102257	9804241	agreement
102257	9810235	disagreement
102257	9812205	agreement
102257	9812371	disagreement
102257	9903355	agreement
102257	9907489	disagreement
102257	9910209	Disagreement
102257	9910238	agreement
102257	9912226	disagreement
9911414	9407339	agreement
9911414	9608491	disagreement
9911414	9610534	disagreement
9911414	9701294	agreement
9911414	9703298	agreement
9911414	9704325	disagreement
9911414	9707313	agreement
9911414	9707481	agreement
9911414	9711287	disagreement
9911414	9711292	disagreement
9911414	9711391	neutral
9911414	9712222	agreement
9911414	9712302	neutral
9911414	9801356	disagreement
9911414	9801397	disagreement
9911414	9802365	agreement
9911414	9802379	agreement
9911414	9803363	disagreement
9911414	9803454	disagreement
9911414	9805270	agreement
9911414	9805424	disagreement
9911414	9807421	neutral
9911414	9808463	disagreement
9911414	9810235	agreement
9911414	9810496	disagreement
9911414	9901394	neutral
9911414	9902276	agreement
9911414	9903260	disagreement
9911414	9903355	disagreement
9911414	9903498	neutral
9911414	9904278	agreement
9911414	9904468	disagreement
9911414	9905550	disagreement
9911414	9906475	agreement
9911414	9907240	agreement
9911414	9907489	agreement
9911414	9910238	disagreement
9702245	9209277	disagreement
9702245	9406287	disagreement
9702245	9610209	agreement
9702245	9908362	disagreement
109122	1295	agreement
109122	1312	disagreement
109122	2075	agreement
109122	8102	disagreement
109122	10334	disagreement
109122	101305	agreement
109122	104259	agreement
109122	105008	disagreement
109122	108084	agreement
109122	9310236	disagreement
109122	9402210	agreement
109122	9403400	disagreement
109122	9411260	disagreement
109122	9503209	disagreement
109122	9610209	agreement
109122	9702245	disagreement
109122	9711287	agreement
109122	9803363	agreement
109122	9804227	agreement
109122	9804241	agreement
109122	9805270	disagreement
109122	9812205	disagreement
109122	9812371	agreement
109122	9905550	disagreement
109122	9906475	disagreement
109122	9907509	agreement
109122	9911434	disagreement
109122	9912391	disagreement
101305	2075	agreement
101305	2250	disagreement
101305	4087	Disagreement
101305	5066	disagreement
101305	7251	agreement
101305	8102	agreement
101305	9145	disagreement
101305	10334	disagreement
101305	108084	disagreement
101305	9310236	disagreement
101305	9402210	agreement
101305	9402360	disagreement
101305	9402364	disagreement
101305	9403400	disagreement
101305	9411260	disagreement
101305	9503209	disagreement
101305	9706430	disagreement
101305	9711287	agreement
101305	9803363	agreement
101305	9804227	agreement
101305	9804241	disagreement
101305	9805270	neutral
101305	9809423	agreement
101305	9811239	agreement
101305	9812371	agreement
101305	9904330	disagreement
101305	9905550	Agreement
101305	9906475	agreement
101305	9907240	neutral
101305	9907489	disagreement
101305	9910238	disagreement
101305	9911414	agreement
101305	9912391	disagreement
9610209	9209277	disagreement
9610209	9908362	disagreement
1295	9306320	neutral
1295	9610209	agreement
1295	9702245	agreement
1295	9801330	agreement
1295	9803337	disagreement
1295	9804241	disagreement
1295	9805216	disagreement
1295	9807443	disagreement
1295	9809485	agreement
1295	9812205	disagreement
1295	9903355	agreement
1295	9905387	disagreement
1295	9906324	Agreement
1295	9907240	agreement
1295	9911461	disagreement
108084	1295	disagreement
108084	1312	agreement
108084	2075	disagreement
108084	4087	disagreement
108084	5066	disagreement
108084	8102	agreement
108084	10334	disagreement
108084	101305	agreement
108084	104259	agreement
108084	105008	disagreement
108084	9310236	disagreement
108084	9403400	agreement
108084	9406339	disagreement
108084	9411260	agreement
108084	9610209	agreement
108084	9706430	Neutral
108084	9707481	neutral
108084	9711287	agreement
108084	9804227	disagreement
108084	9804241	disagreement
108084	9805270	disagreement
108084	9807421	disagreement
108084	9809423	agreement
108084	9811239	agreement
108084	9812205	disagreement
108084	9812371	disagreement
108084	9903355	disagreement
108084	9904330	agreement
108084	9905550	agreement
108084	9906475	agreement
108084	9907240	agreement
108084	9907489	disagreement
108084	9907509	disagreement
108084	9910238	disagreement
108084	9911414	disagreement
108084	9911434	disagreement
108084	9912391	Disagreement
9707481	9310236	disagreement
9707481	9407339	agreement
9707481	9505442	agreement
9707481	9608491	agreement
9707481	9610534	agreement
9707481	9611388	disagreement
9707481	9701294	agreement
9707481	9703298	agreement
9707481	9706449	agreement
9707481	9707313	agreement
9707481	9707481	agreement
9707481	9711292	agreement
9707481	9802365	agreement
9711287	9310236	agreement
9711287	9403400	disagreement
9711287	9408376	Agreement
9711287	9503234	agreement
9711287	9504273	agreement
9711287	9605424	agreement
9711287	9610209	agreement
9711287	9611388	disagreement
9711287	9702276	agreement
9711287	9708448	agreement
9710451	9209232	disagreement
9710451	9308222	disagreement
9710451	9311269	neutral
9710451	9412272	agreement
9710451	9504324	neutral
9710451	9505416	agreement
9710451	9605339	disagreement
9710451	9605412	disagreement
9710451	9606399	disagreement
9710451	9609360	disagreement
9710451	9609419	disagreement
9710451	9610313	agreement
9710451	9610490	agreement
9710451	9611232	disagreement
9710451	9705442	disagreement
9505416	9303255	disagreement
9505416	9412272	agreement
9605412	9501382	disagreement
9605412	9602378	disagreement
9605412	9603206	agreement
9605412	9603410	agreement
9605412	9605340	agreement
9610490	9308222	disagreement
9610490	9410404	disagreement
9610490	9412272	agreement
9610490	9501292	agreement
9610490	9502336	disagreement
9610490	9505416	agreement
9610490	9606449	disagreement
9610490	9609373	disagreement
9412272	9303255	disagreement
9610313	9209232	disagreement
9610313	9308222	disagreement
9610313	9311222	disagreement
9610313	9311269	agreement
9610313	9504324	agreement
9610313	9602378	disagreement
9610313	9603206	agreement
9610313	9605340	disagreement
9610313	9605412	agreement
9610313	9608472	disagreement
9610313	9609360	disagreement
9610313	9609419	agreement
9611232	9305342	agreement
9611232	9412272	agreement
9611232	9502336	disagreement
9611232	9505416	agreement
9611232	9610490	agreement
9311269	9206218	disagreement
9311269	9206238	disagreement
9311269	9207234	disagreement
9311269	9207253	Agreement
9311269	9209220	disagreement
9311269	9209232	agreement
9311269	9210235	neutral
9311269	9210260	disagreement
9311269	9211256	disagreement
9311269	9301267	disagreement
9311269	9302234	agreement
9311269	9303202	agreement
9311269	9303274	Agreement
9311269	9303280	agreement
9311269	9303291	disagreement
9311269	9304277	agreement
9311269	9304295	disagreement
9311269	9306292	disagreement
9311269	9307201	disagreement
9311269	9307217	disagreement
9311269	9307226	disagreement
9311269	9307249	disagreement
9311269	9307301	disagreement
9609360	9311340	agreement
9609360	9503445	agreement
9609360	9503479	agreement
9609360	9504324	neutral
9609360	9507378	disagreement
9609360	9508343	disagreement
9609360	9606211	agreement
9609419	9209232	neutral
9609419	9303202	disagreement
9609419	9308209	agreement
9609419	9308222	agreement
9609419	9501382	agreement
9609419	9505412	neutral
9609419	9602378	agreement
9609419	9603206	disagreement
9609419	9603350	agreement
9609419	9605340	disagreement
9609419	9606385	agreement
9609419	9609202	disagreement
9504324	9206218	disagreement
9504324	9207205	disagreement
9504324	9207218	agreement
9504324	9207234	disagreement
9504324	9207279	agreement
9504324	9209232	agreement
9504324	9209292	disagreement
9504324	9210235	disagreement
9504324	9210242	disagreement
9504324	9302224	disagreement
9504324	9302227	disagreement
9504324	9302318	agreement
9504324	9303202	agreement
9504324	9303291	disagreement
9504324	9304216	neutral
9504324	9304298	disagreement
9504324	9304307	Agreement
9504324	9306205	agreement
9504324	9306242	disagreement
9504324	9306290	neutral
9504324	9306309	disagreement
9504324	9306314	agreement
9504324	9307226	disagreement
9504324	9307322	agreement
9504324	9308222	disagreement
9504324	9308271	disagreement
9504324	9308309	agreement
9504324	9308333	disagreement
9504324	9308335	agreement
9504324	9309286	disagreement
9504324	9310212	disagreement
9504324	9310297	neutral
9504324	9310374	disagreement
9504324	9311214	Neutral
9504324	9311222	agreement
9504324	9311228	agreement
9504324	9311269	agreement
9504324	9311281	agreement
9504324	9312213	disagreement
9504324	9312248	disagreement
9504324	9312272	disagreement
9504324	9402253	agreement
9504324	9402278	disagreement
9504324	9402284	agreement
9504324	9403240	agreement
9504324	9403307	Agreement
9504324	9403338	agreement
9504324	9403350	disagreement
9504324	9404217	disagreement
9504324	9404342	disagreement
9504324	9405252	disagreement
9504324	9405278	disagreement
9504324	9406245	disagreement
9504324	9406253	agreement
9504324	9406256	disagreement
9504324	9406303	disagreement
9504324	9407251	disagreement
9504324	9407285	neutral
9504324	9407291	disagreement
9504324	9408217	agreement
9504324	9408230	disagreement
9504324	9408384	disagreement
9504324	9408406	disagreement
9504324	9409223	agreement
9504324	9409329	agreement
9504324	9409419	disagreement
9504324	9410231	agreement
9504324	9410342	agreement
9504324	9411239	disagreement
9504324	9411276	disagreement
9504324	9411298	disagreement
9504324	9412322	agreement
9504324	9501277	Neutral
9504324	9502206	agreement
9504324	9502318	disagreement
9504324	9503306	disagreement
9810303	9307201	agreement
9810303	9508346	disagreement
9810303	9801437	agreement
9810303	9804235	disagreement
9804235	9210242	disagreement
9804235	9212305	disagreement
9804235	9401219	disagreement
9804235	9407389	disagreement
9804235	9504316	agreement
9804235	9508343	disagreement
9804235	9607400	disagreement
9804235	9609331	disagreement
9804235	9707462	disagreement
9804235	9712234	disagreement
9804235	9801353	disagreement
9804235	9801437	disagreement
9804235	9803277	disagreement
9307201	9210266	agreement
5067	9509285	disagreement
5067	9611400	disagreement
5067	9710529	disagreement
5067	9712352	disagreement
5067	9806386	disagreement
5067	9808298	agreement
5067	9808434	disagreement
5067	9809456	disagreement
5067	9810281	disagreement
5067	9904501	disagreement
5067	9906398	disagreement
9509285	9309289	disagreement
9509285	9402335	disagreement
9509285	9404237	disagreement
9509285	9409410	disagreement
9806386	9212210	disagreement
9806386	9310345	agreement
9806386	9602235	disagreement
9806386	9710529	neutral
9806386	9711324	agreement
9806386	9711346	disagreement
9806386	9711349	disagreement
9806386	9711350	disagreement
9806386	9711351	agreement
9611400	9306294	neutral
9611400	9309289	agreement
9611400	9311205	disagreement
9611400	9401211	agreement
9611400	9408214	disagreement
9611400	9409308	agreement
9611400	9411409	disagreement
9611400	9412327	disagreement
9611400	9412362	disagreement
9611400	9504256	disagreement
9611400	9507365	agreement
9611400	9507414	agreement
9611400	9508302	agreement
9611400	9602286	disagreement
9611400	9605327	disagreement
9611400	9605446	disagreement
9611400	9606337	disagreement
9611400	9607303	disagreement
9611400	9608304	disagreement
9808434	9212210	disagreement
9808434	9708248	disagreement
9808434	9710310	agreement
9808434	9710340	disagreement
9808434	9711285	disagreement
9808434	9712352	agreement
9808434	9807346	disagreement
9808434	9808394	disagreement
9810281	9207204	agreement
9810281	9208206	agreement
9810281	9210253	disagreement
9810281	9301218	agreement
9810281	9303247	disagreement
9810281	9307363	Agreement
9810281	9402283	disagreement
9810281	9403387	disagreement
9810281	9405414	disagreement
9810281	9407274	Neutral
9810281	9409246	agreement
9810281	9410309	agreement
9810281	9411358	disagreement
9810281	9412360	agreement
9810281	9503347	disagreement
9810281	9503349	agreement
9810281	9504250	disagreement
9810281	9504338	disagreement
9810281	9508233	disagreement
9810281	9508276	disagreement
9810281	9508406	disagreement
9810281	9509426	neutral
9810281	9601214	disagreement
9810281	9602235	disagreement
9810281	9603279	disagreement
9810281	9604327	agreement
9810281	9606289	disagreement
9810281	9606460	disagreement
9810281	9610432	disagreement
9810281	9611328	agreement
9810281	9612217	agreement
9810281	9612325	disagreement
9810281	9702210	disagreement
9810281	9702273	agreement
9810281	9702274	disagreement
9810281	9704416	agreement
9810281	9706256	neutral
9810281	9706525	disagreement
9810281	9708280	agreement
9810281	9708294	agreement
9810281	9709487	disagreement
9810281	9711344	agreement
9810281	9711349	agreement
9810281	9711351	agreement
9810281	9804384	agreement
9810281	9805418	agreement
9810281	9807247	disagreement
9904501	9808434	disagreement
9808298	9506436	disagreement
9808298	9602358	agreement
9808298	9607263	disagreement
9808298	9701355	disagreement
9808298	9712352	disagreement
9808298	9803386	disagreement
9808298	9805418	agreement
9808298	9807303	disagreement
9809456	9212210	disagreement
9809456	9710463	disagreement
9809456	9807303	agreement
9809456	9807346	disagreement
9809456	9808394	Disagreement
9809456	9809385	agreement
9710529	9701275	agreement
9710529	9702274	disagreement
